Disaster Type,num_eventos,filas_registro,muertes_totales,muertes_promedio,danio_total_kusd,danio_promedio_kusd
Flood,4221,4221,139983.0,45.27263906856404,1050640440.0,885868.8364249578
Storm,2790,2790,226756.0,108.54763044518909,2405244237.0,1788285.6780669144
Epidemic,887,887,123946.0,161.59843546284225,0.0,
Earthquake,693,693,796216.0,1753.7797356828194,946659378.0,3155531.26
Extreme temperature,568,568,352756.0,741.0840336134454,74835443.0,1663009.8444444444
Mass movement (wet),493,493,22404.0,46.87029288702929,7527191.0,142022.4716981132
Drought,420,420,24197.0,864.1785714285714,261678822.0,2217617.13559322
Wildfire,332,332,2298.0,13.927272727272728,151669376.0,1184917.0
Volcanic activity,132,132,1744.0,69.76,4316779.0,215838.95
Infestation,29,29,0.0,,218599.0,218599.0
Mass movement (dry),14,14,398.0,28.428571428571427,10772.0,10772.0
Glacial lake outburst flood,8,8,478.0,68.28571428571429,243107.0,243107.0
Animal incident,1,1,12.0,12.0,0.0,
Impact,1,1,0.0,,44436.0,44436.0
